INSTNM,CITY,STABBR,ZIP
Bridgewater State University,Bridgewater,MA,2325
Bristol Community College,Fall River,MA,02720-7395
Signature Healthcare Brockton Hospital School of Nursing,Brockton,MA,02302-1905
Bunker Hill Community College,Boston,MA,02129-2925
Cambridge College,Boston,MA,2129
Cape Cod Community College,West Barnstable,MA,02668-1599
Catherine Hinds Institute of Esthetics,Woburn,MA,01801-6819
Laboure College of Healthcare,Milton,MA,2186
Clark University,Worcester,MA,01610-1477
Conway School of Landscape Design,Northampton,MA,1060
Curry College,Milton,MA,02186-2395
Lincoln Technical Institute-Somerville,Somerville,MA,2145
Dean College,Franklin,MA,02038-1941
Diman Regional Technical Institute,Fall River,MA,2720
National Aviation Academy of New England,Concord,MA,1742
Eastern Nazarene College,Quincy,MA,02170-2999
Emerson College,Boston,MA,02116-4624
Emmanuel College,Boston,MA,2115
Endicott College,Beverly,MA,1915
Rob Roy Academy-Fall River,Fall River,MA,02720-3445
Fisher College,Boston,MA,2116
Fitchburg State University,Fitchburg,MA,01420-2697
Framingham State University,Framingham,MA,01701-9101
Benjamin Franklin Cummings Institute of Technology,Boston,MA,2116
Gordon College,Wenham,MA,1984
Gordon-Conwell Theological Seminary,South Hamilton,MA,1982
Greenfield Community College,Greenfield,MA,01301-9739
Hampshire College,Amherst,MA,01002-5001
Harvard University,Cambridge,MA,2138
Hebrew College,Newton Centre,MA,02459-2237
Hellenic College-Holy Cross Greek Orthodox School of Theology,Brookline,MA,02445-7415
College of the Holy Cross,Worcester,MA,01610-2395
Holyoke Community College,Holyoke,MA,1040
Lasell University,Newton,MA,2466
Lawrence Memorial Hospital School of Nursing,Medford,MA,2155
Lesley University,Cambridge,MA,02138-2790
Longy School of Music of Bard College,Cambridge,MA,2138
Lowell Academy Hairstyling Institute,Lowell,MA,01852-1909
University of Massachusetts-Lowell,Lowell,MA,1854
University of Massachusetts-Amherst,Amherst,MA,1003
University of Massachusetts-Boston,Boston,MA,02125-3393
Massachusetts Bay Community College,Wellesley Hills,MA,02481-5399
MCPHS University,Boston,MA,02115-5896
Massachusetts College of Art and Design,Boston,MA,02115-5882
Massachusetts Institute of Technology,Cambridge,MA,02139-4307
Massachusetts Maritime Academy,Buzzards Bay,MA,02532-1803
University of Massachusetts Chan Medical School,Worcester,MA,1655
William James College,Newton,MA,2459
Massachusetts School of Barbering,Quincy,MA,2169
Massasoit Community College,Brockton,MA,02302-3996
Merrimack College,North Andover,MA,1845
MGH Institute of Health Professions,Boston,MA,02129-4557
Middlesex Community College,Bedford,MA,01730-9124
Montserrat College of Art,Beverly,MA,01915-4508
Mount Holyoke College,South Hadley,MA,01075-1489
Mount Wachusett Community College,Gardner,MA,01440-1000
Rob Roy Academy-New Bedford,New Bedford,MA,02720-3445
The New England Conservatory of Music,Boston,MA,02115-5018
New England College of Optometry,Boston,MA,2115
New England Law-Boston,Boston,MA,2116
Nichols College,Dudley,MA,01571-5000
Massachusetts College of Liberal Arts,North Adams,MA,01247-4100
North Bennet Street School,Boston,MA,2109
North Shore Community College,Danvers,MA,01923-0840
Northeastern University,Boston,MA,02115-5005
Northern Essex Community College,Haverhill,MA,01830-2399
College of Our Lady of the Elms,Chicopee,MA,1013
Pine Manor College,Chestnut Hill,MA,2467
Pope St John XXIII National Seminary,Weston,MA,02493-2699
Quincy College,Quincy,MA,2169
Quinsigamond Community College,Worcester,MA,01606-2092
Regis College,Weston,MA,02493-1571
Roxbury Community College,Roxbury Crossing,MA,02120-3400
Saint John's Seminary,Brighton,MA,02135-3846
Salem State University,Salem,MA,1970
Simmons University,Boston,MA,02115-5898
Bard College at Simon's Rock,Great Barrington,MA,01230-9702
Smith College,Northampton,MA,1063
Southeastern Technical Institute,South Easton,MA,2375
Springfield College,Springfield,MA,01109-3797
Springfield Technical Community College,Springfield,MA,01105-1296
University of Massachusetts-Dartmouth,North Dartmouth,MA,02747-2300
Stonehill College,Easton,MA,02357-6110
Suffolk University,Boston,MA,02108-3901
Rob Roy Academy-Taunton,Taunton,MA,02780-5339
Tufts University,Medford,MA,02155-5555
Wellesley College,Wellesley,MA,02481-8203
Wentworth Institute of Technology,Boston,MA,2115
Western New England University,Springfield,MA,01119-2684
Westfield State University,Westfield,MA,01086-1630
Wheaton College (Massachusetts),Norton,MA,02766-2322
Williams College,Williamstown,MA,1267
Worcester Polytechnic Institute,Worcester,MA,01609-2280
Worcester State University,Worcester,MA,01602-2597
Adrian College,Adrian,MI,49221-2575
Albion College,Albion,MI,49224
Hillsdale Beauty College,Hillsdale,MI,49242
Northwestern Technological Institute,Southfield,MI,48075
Alma College,Alma,MI,48801-1599
Alpena Community College,Alpena,MI,49707
Andrews University,Berrien Springs,MI,49104
Aquinas College,Grand Rapids,MI,49506-1801
Baker College,Owosso,MI,48867
Bay de Noc Community College,Escanaba,MI,49829-2511
Bayshire Academy of Beauty Craft Inc,Bay City,MI,48708-5614
Calvin University,Grand Rapids,MI,49546
Calvin Theological Seminary,Grand Rapids,MI,49546-4387
Carnegie Institute,Troy,MI,48083
Michigan School of Psychology,Farmington Hills,MI,48334-4512
Central Michigan University,Mount Pleasant,MI,48859
Mott Community College,Flint,MI,48503-2089
Empire Beauty School-Michigan,Grand Rapids,MI,49544
Cleary University,Howell,MI,48843
Concordia University Ann Arbor,Ann Arbor,MI,48105
Cranbrook Academy of Art,Bloomfield Hills,MI,48304
College for Creative Studies,Detroit,MI,48202
Davenport University,Grand Rapids,MI,49512-9396
David Pressley School of Cosmetology,Royal Oak,MI,48067-3219
Delta College,University Center,MI,48710
Detroit Business Institute-Downriver,Riverview,MI,48193
Michigan State University-College of Law,East Lansing,MI,48824-1300
MIAT College of Technology,Canton,MI,48188
University of Detroit Mercy,Detroit,MI,48221-3038
Dorsey School of Business-Madison Heights,Madison Heights,MI,48071
Dorsey College,Madison Heights,MI,48071
Eastern Michigan University,Ypsilanti,MI,48197
Creative Hair School of Cosmetology,Flint,MI,48507
Ferris State University,Big Rapids,MI,49307-2251
Flint Institute of Barbering Inc,Flint,MI,48504-4395
Glen Oaks Community College,Centreville,MI,49032-9719
Kettering University,Flint,MI,48504-6214
Gogebic Community College,Ironwood,MI,49938
Grace Christian University,Wyoming,MI,49509
Cornerstone University,Grand Rapids,MI,49525-5897
Grand Rapids Community College,Grand Rapids,MI,49503-3295
Grand Valley State University,Allendale,MI,49401-9403
Great Lakes Christian College,Lansing,MI,48917-1299
Henry Ford College,Dearborn,MI,48128-1495
Hillsdale College,Hillsdale,MI,49242
Hope College,Holland,MI,49423-9000
Jackson College,Jackson,MI,49201-8399
Kalamazoo College,Kalamazoo,MI,49006-3295
Kalamazoo Valley Community College,Kalamazoo,MI,49003-4070
Kellogg Community College,Battle Creek,MI,49017-3397
Kirtland Community College,Grayling,MI,49738
Michigan College of Beauty-Monroe,Monroe,MI,48161
Lake Michigan College,Benton Harbor,MI,49022-1899
Lake Superior State University,Sault Ste Marie,MI,49783
Lansing Community College,Lansing,MI,48933
Lawrence Technological University,Southfield,MI,48075-1058
M J Murphy Beauty College of Mount Pleasant,Mount Pleasant,MI,48858
Macomb Community College,Warren,MI,48088-3896
Madonna University,Livonia,MI,48150-1176
Rochester University,Rochester Hills,MI,48307
University of Michigan-Ann Arbor,Ann Arbor,MI,48109
The Michigan Barber School,Detroit,MI,48204-2244
Michigan State University,East Lansing,MI,48824-1046
Michigan Technological University,Houghton,MI,49931-1295
University of Michigan-Dearborn,Dearborn,MI,48128-1491
University of Michigan-Flint,Flint,MI,48502-1950
Mid Michigan College,Harrison,MI,48625-9447
Monroe County Community College,Monroe,MI,48161-9746
Montcalm Community College,Sidney,MI,48885-9723
Muskegon Community College,Muskegon,MI,49442-1432
North Central Michigan College,Petoskey,MI,49770
Northern Michigan University,Marquette,MI,49855-5301
Northwestern Michigan College,Traverse City,MI,49686
Northwood University,Midland,MI,48640-2398
Oakland Community College,Auburn Hills,MI,48326
Oakland University,Rochester Hills,MI,48309-4401
Olivet College,Olivet,MI,49076
Port Huron Cosmetology College,Waterford,MI,48329
Kuyper College,Grand Rapids,MI,49525-9781
Ross Medical Education Center-Lansing,Lansing,MI,48917-2108
Ross Medical Education Center-Warren,Warren,MI,48092-4141
Ross Medical Education Center-Flint,Flint,MI,48507-1234
Sacred Heart Major Seminary,Detroit,MI,48206-1799
Saginaw Valley State University,University Center,MI,48710
Schoolcraft Community College District,Livonia,MI,48152-2696
Siena Heights University,Adrian,MI,49221
St Clair County Community College,Port Huron,MI,48061-5015
Southwestern Michigan College,Dowagiac,MI,49047-9793
Specs Howard School of Media Arts,Southfield,MI,48033
Spring Arbor University,Spring Arbor,MI,49283-9799
Michigan Career and Technical Institute,Plainwell,MI,49080-9254
Finlandia University,Hancock,MI,49930-1832
Western Michigan University-Thomas M. Cooley Law School,Lansing,MI,48933
Twin City Beauty College,Saint Joseph,MI,49085
Walsh College,Troy,MI,48083-5066
Washtenaw Community College,Ann Arbor,MI,48105-4800
Wayne County Community College District,Detroit,MI,48226
Wayne State University,Detroit,MI,48202
West Shore Community College,Scottville,MI,49454-0277
Paul Mitchell the School-Grand Rapids,Kentwood,MI,49512-1781
Western Michigan University,Kalamazoo,MI,49008-5200
Western Theological Seminary,Holland,MI,49423-3622
Wright Beauty Academy,Battle Creek,MI,49015
Academy College,Bloomington,MN,55431-1411
Alexandria Technical & Community College,Alexandria,MN,56308
American Indian OIC Inc,Minneapolis,MN,55404-2221
Anoka Technical College,Anoka,MN,55303
Anoka-Ramsey Community College,Coon Rapids,MN,55433-3470
Augsburg University,Minneapolis,MN,55454
Riverland Community College,Austin,MN,55912-1473
Northwest Technical College,Bemidji,MN,56601-4907
Bemidji State University,Bemidji,MN,56601
Bethany Lutheran College,Mankato,MN,56001
Bethel University,Saint Paul,MN,55112
Central Lakes College-Brainerd,Brainerd,MN,56401-3900
Carleton College,Northfield,MN,55057
Concordia College at Moorhead,Moorhead,MN,56562
Concordia University-Saint Paul,Saint Paul,MN,55104-5494
Dakota County Technical College,Rosemount,MN,55068-2999
Martin Luther College,New Ulm,MN,56073-3965
Lake Superior College,Duluth,MN,55811-3399
Cosmetology Careers Unlimited College of Hair Skin and Nails,Duluth,MN,55802
Minnesota State Community and Technical College,Fergus Falls,MN,56537-1000
Minnesota West Community and Technical College,Granite Falls,MN,56241
Gustavus Adolphus College,Saint Peter,MN,56082-1498
Hamline University,Saint Paul,MN,55104-1284
Hazelden Betty Ford Graduate School of Addiction Studies,Center City,MN,55012-0011
Hennepin Technical College,Brooklyn Park,MN,55445
Minnesota North College,Hibbing,MN,55746
Aveda Arts & Sciences Institute Minneapolis,Minneapolis,MN,55414
Inver Hills Community College,Inver Grove Heights,MN,55076-3224
Minnesota North College - Itasca,Grand Rapids,MN,55744-1851
Luther Seminary,Saint Paul,MN,55108-1496
Macalester College,Saint Paul,MN,55105-1899
South Central College,North Mankato,MN,56003-1920
Minnesota State University-Mankato,Mankato,MN,56001
Mayo Clinic College of Medicine and Science,Rochester,MN,55905
Minnesota North College - Mesabi Range Virginia,Virginia,MN,55792-1001
Metropolitan State University,Saint Paul,MN,55106-5000
University of Minnesota-Twin Cities,Minneapolis,MN,55455-0213
University of Minnesota-Crookston,Crookston,MN,56716-5001
Minneapolis College of Art and Design,Minneapolis,MN,55404
Minneapolis Community and Technical College,Minneapolis,MN,55403-1779
Herzing University-Minneapolis,St. Louis Park,MN,55426
Minnesota School of Cosmetology-Woodbury Campus,WOODBURY,MN,55125
University of Minnesota-Duluth,Duluth,MN,55812
University of Minnesota-Morris,Morris,MN,56267
Model College of Hair Design,Saint Cloud,MN,56301-4332
Minnesota State University Moorhead,Moorhead,MN,56563
North Hennepin Community College,Brooklyn Park,MN,55445
Normandale Community College,Bloomington,MN,55431-4399
North Central University,Minneapolis,MN,55404-1391
Northland Community and Technical College,Thief River Falls,MN,56701
University of Northwestern-St Paul,Saint Paul,MN,55113-1598
Northwestern Health Sciences University,Bloomington,MN,55431
Oak Hills Christian College,Bemidji,MN,56601-8834
Pine Technical & Community College,Pine City,MN,55063
Minnesota North College - Rainy River,International Falls,MN,56649-1501
Rochester Community and Technical College,Rochester,MN,55904-4999
College of Saint Benedict,Saint Joseph,MN,56374
St Cloud Technical and Community College,Saint Cloud,MN,56303-1240
Saint Cloud State University,Saint Cloud,MN,56301-4498
Saint Johns University,Collegeville,MN,56321
Saint Mary's University of Minnesota,Winona,MN,55987-1399
St Olaf College,Northfield,MN,55057-1098
Crown College,Saint Bonifacius,MN,55375-9001
The College of Saint Scholastica,Duluth,MN,55811-4199
University of St Thomas,Saint Paul,MN,55105-1078
Empire Beauty School-Bloomington,Bloomington,MN,55420-4232
St Catherine University,Saint Paul,MN,55105
Rasmussen University-Minnesota,St. Cloud,MN,56301-3713
Saint Paul College,Saint Paul,MN,55102-9808
Southwest Minnesota State University,Marshall,MN,56258-5468
Summit Academy Opportunities Industrialization Center,Minneapolis,MN,55405
United Theological Seminary of the Twin Cities,St. Paul,MN,55114
Minnesota North College - Vermilion,Ely,MN,55731-1900
Dunwoody College of Technology,Minneapolis,MN,55403-1192
Ridgewater College,Willmar,MN,56201
Minnesota State College Southeast,Winona,MN,55987
Winona State University,Winona,MN,55987-5838
Mitchell Hamline School of Law,Saint Paul,MN,55105-3076
Century College,White Bear Lake,MN,55110
Alcorn State University,Alcorn State,MS,39096-7500
Belhaven University,Jackson,MS,39202
Blue Mountain Christian University,Blue Mountain,MS,38610
Chris Beauty College,Gulfport,MS,39501
Coahoma Community College,Clarksdale,MS,38614
Copiah-Lincoln Community College,Wesson,MS,39191
Delta Beauty College,Greenville,MS,38703
Delta State University,Cleveland,MS,38733
East Central Community College,Decatur,MS,39327-0129
East Mississippi Community College,Scooba,MS,39358-0158
Fosters Cosmetology College,Ripley,MS,38663-0066
Academy of Hair Design-Grenada,Grenada,MS,38901
Hinds Community College,Raymond,MS,39154
Holmes Community College,Goodman,MS,39079
Itawamba Community College,Fulton,MS,38843-1099
Jackson State University,Jackson,MS,39217
Jones County Junior College,Ellisville,MS,39437
Meridian Community College,Meridian,MS,39307-5801
Millsaps College,Jackson,MS,39210-0001
Mississippi Delta Community College,Moorhead,MS,38761
University of Mississippi,University,MS,38677-1848
Mississippi University for Women,Columbus,MS,39701
Mississippi Valley State University,Itta Bena,MS,38941-1400
Mississippi College,Clinton,MS,39058
Hatfield's Mississippi College of Beauty Culture,Laurel,MS,39440
Mississippi Gulf Coast Community College,Perkinston,MS,39573
Mississippi State University,Mississippi State,MS,39762
Northeast Mississippi Community College,Booneville,MS,38829
Northwest Mississippi Community College,Senatobia,MS,38668-1714
Pearl River Community College,Poplarville,MS,39470
Rust College,Holly Springs,MS,38635
Southeastern Baptist College,Laurel,MS,39440-9989
Southwest Mississippi Community College,Summit,MS,39666-0000
University of Southern Mississippi,Hattiesburg,MS,39406-0001
Magnolia College of Cosmetology,Jackson,MS,39206
Tougaloo College,Tougaloo,MS,39174
Vaughn Beauty College,Aberdeen,MS,39730-3238
Wesley Biblical Seminary,Ridgeland,MS,39157-1920
William Carey University,Hattiesburg,MS,39401
Aquinas Institute of Theology,Saint Louis,MO,63108-3323
Avila University,Kansas City,MO,64145-1698
Baptist Bible College,Springfield,MO,65803-3498
House of Heavilin Beauty College-Blue Springs,Blue Springs,MO,64014
Cox College,Springfield,MO,65802-1917
Calvary University,Kansas City,MO,64147-1341
Cape Girardeau Career and Technology Center,Cape Girardeau,MO,63703-7511
Central Christian College of the Bible,Moberly,MO,65270-1997
Central Methodist University-College of Liberal Arts and Sciences,Fayette,MO,65248-1198
University of Central Missouri,Warrensburg,MO,64093
Grand River Technical School,Chillicothe,MO,64601
Cleveland University-Kansas City,Overland Park,KS,66210
Columbia College,Columbia,MO,65216
Conception Seminary College,Conception,MO,64433-0502
Concordia Seminary,Saint Louis,MO,63105-3196
Cottey College,Nevada,MO,64772
Covenant Theological Seminary,Saint Louis,MO,63141-8609
Crowder College,Neosho,MO,64850
Culver-Stockton College,Canton,MO,63435-1299
Drury University,Springfield,MO,65802-3791
East Central College,Union,MO,63084
Eden Theological Seminary,Webster Groves,MO,63119-3192
Elaine Steven Beauty College,Saint Louis,MO,63136-5618
Pinnacle Career Institute,Kansas City,MO,64153-1151
Evangel University,Springfield,MO,65802-2125
Fontbonne University,Saint Louis,MO,63105-3098
Four Rivers Career Center,Washington,MO,63090-4235
Ozarks Technical Community College,Springfield,MO,65802
Hannibal-LaGrange University,Hannibal,MO,63401
Harris-Stowe State University,Saint Louis,MO,63103-2136
House of Heavilin Beauty College-Kansas City,Kansas City,MO,64110-2826
Summit Salon Academy Kansas City,Independence,MO,64055
Jefferson College,Hillsboro,MO,63050-2440
Paul Mitchell the School-Missouri Columbia,Columbia,MO,65203
Barnes-Jewish College Goldfarb School of Nursing,Saint Louis,MO,63110
Kansas City Art Institute,Kansas City,MO,64111-1874
Kenrick Glennon Seminary,Saint Louis,MO,63119-4399
A T Still University of Health Sciences,Kirksville,MO,63501
Lake Career and Technical Center,Camdenton,MO,65020
Lex La-Ray Technical Center,Lexington,MO,64067-1525
Lincoln University,Jefferson City,MO,65101
Lindenwood University,Saint Charles,MO,63301-1695
State Technical College of Missouri,Linn,MO,65051-9607
Logan University,Chesterfield,MO,63017
Metropolitan Community College-Kansas City,Kansas City,MO,64111-2429
Lutheran School of Nursing,Saint Louis,MO,63118-3909
Maryville University of Saint Louis,Saint Louis,MO,63141-7299
Missouri College of Cosmetology and Esthetics,Jefferson City,MO,65109
Midwest Institute,Fenton,MO,63026
Midwestern Baptist Theological Seminary,Kansas City,MO,64118-4697
Mineral Area College,Park Hills,MO,63601-1000
Missouri Baptist University,Saint Louis,MO,63141-8698
Missouri Southern State University,Joplin,MO,64801-1595
Missouri Valley College,Marshall,MO,65340
Missouri Western State University,Saint Joseph,MO,64507
University of Missouri-Columbia,Columbia,MO,65211
University of Missouri-Kansas City,Kansas City,MO,64110
Missouri University of Science and Technology,Rolla,MO,65409
University of Missouri-St Louis,Saint Louis,MO,63121-4400
Moberly Area Community College,Moberly,MO,65270-1304
Hillyard Technical Center,Saint Joseph,MO,64506-5102
Nazarene Theological Seminary,Kansas City,MO,64131-1246
Neosho Beauty College,Neosho,MO,64850-1525
Truman State University,Kirksville,MO,63501-4221
Northwest Missouri State University,Maryville,MO,64468-6001
Ozark Christian College,Joplin,MO,64801
College of the Ozarks,Point Lookout,MO,65726-0017
Park University,Parkville,MO,64152-3795
Stevens-The Institute of Business & Arts,Saint Louis,MO,63103
Poplar Bluff Technical Career Center,Poplar Bluff,MO,63901-8960
Ranken Technical College,Saint Louis,MO,63113-2811
Research College of Nursing,Kansas City,MO,64132
Rockhurst University,Kansas City,MO,64110-2561
Rolla Technical Institute/Center,Rolla,MO,65401
Saint Louis University,Saint Louis,MO,63103-2097
Salem College of Hairstyling,Rolla,MO,65401
American College of Hair Design Inc,Sedalia,MO,65301
Saint Louis Christian College,Florissant,MO,63033
University of Health Sciences and Pharmacy in St. Louis,Saint Louis,MO,63110-1088
Saint Louis Community College,Bridgeton,MO,63044
Saint Paul School of Theology,Leawood,KS,66224
Southwest Baptist University,Bolivar,MO,65613-2596
Missouri State University-West Plains,West Plains,MO,65775-2715
Saint Luke's College of Health Sciences,Kansas City,MO,64111
St Louis College of Health Careers-St Louis,Saint Louis,MO,63110
State Fair Community College,Sedalia,MO,65301-2199
Stephens College,Columbia,MO,65215
Southeast Missouri State University,Cape Girardeau,MO,63701
Missouri State University-Springfield,Springfield,MO,65897
Three Rivers College,Poplar Bluff,MO,63901
North Central Missouri College,Trenton,MO,64683
Kansas City University,Kansas City,MO,64106-1453
Washington University in St Louis,Saint Louis,MO,63130-4899
Webster University,Saint Louis,MO,63119-3194
Westminster College,Fulton,MO,65251-1299
William Jewell College,Liberty,MO,64068-1896
William Woods University,Fulton,MO,65251-2388
Academy of Cosmetology Inc,Bozeman,MT,59715-3544
Blackfeet Community College,Browning,MT,59417-0819
Butte Academy of Beauty Culture,Butte,MT,59701
Highlands College of Montana Tech,Butte,MT,59701
Crevier's Academy of Cosmetology Arts,Kalispell,MT,59901
Carroll College,Helena,MT,59625-0002
Dawson Community College,Glendive,MT,59330
Chief Dull Knife College,Lame Deer,MT,59043
Montana State University Billings,Billings,MT,59101-0298
Flathead Valley Community College,Kalispell,MT,59901
Aaniiih Nakoda College,Harlem,MT,59526
Fort Peck Community College,Poplar,MT,59255-0398
Great Falls College Montana State University,Great Falls,MT,59405
University of Providence,Great Falls,MT,59405-4996
Helena College University of Montana,Helena,MT,59601
Little Big Horn College,Crow Agency,MT,59022
Miles Community College,Miles City,MT,59301-4774
Montana Technological University,Butte,MT,59701-8997
Montana State University,Bozeman,MT,59717
The University of Montana,Missoula,MT,59812
Montana State University-Northern,Havre,MT,59501
Rocky Mountain College,Billings,MT,59102-1796
Salish Kootenai College,Pablo,MT,59855
The University of Montana-Western,Dillon,MT,59725-3598
Bellevue University,Bellevue,NE,68005-3098
Clarkson College,Omaha,NE,68131-2739
Bryan College of Health Sciences,Lincoln,NE,68506
Central Community College,Grand Island,NE,68802-4903
Chadron State College,Chadron,NE,69337-2690
College of Hair Design-Downtown,Lincoln,NE,68508-2199
Concordia University-Nebraska,Seward,NE,68434-1556
Creighton University,Omaha,NE,68178
Doane University,Crete,NE,68333
Hastings College,Hastings,NE,68901
CHI Health School of Radiologic Technology,Omaha,NE,68122
Joseph's College Cosmetology,Lincoln,NE,68505
University of Nebraska at Kearney,Kearney,NE,68849-1212
Nebraska Methodist College of Nursing & Allied Health,Omaha,NE,68114-2852
Metropolitan Community College Area,Omaha,NE,68111-1610
Mid-Plains Community College,North Platte,NE,69101
Midland University,Fremont,NE,68025
Nebraska Christian College of Hope International University,Papillion,NE,68046
University of Nebraska at Omaha,Omaha,NE,68182-0225
Nebraska Indian Community College,Macy,NE,68039-0428
University of Nebraska Medical Center,Omaha,NE,68198-7815
Nebraska Wesleyan University,Lincoln,NE,68504-2794
University of Nebraska-Lincoln,Lincoln,NE,68588-0419
Northeast Community College,Norfolk,NE,68702-0469
Peru State College,Peru,NE,68421-0010
Summit Christian College,Gering,NE,69341
College of Saint Mary,Omaha,NE,68106
Southeast Community College Area,Lincoln,NE,68510-2449
Union College,Lincoln,NE,68506
Nebraska College of Technical Agriculture,Curtis,NE,69025-9552
Wayne State College,Wayne,NE,68787
Western Nebraska Community College,Scottsbluff,NE,69361-1899
York University,York,NE,68467-2699
Academy of Hair Design-Las Vegas,Las Vegas,NV,89146
Career College of Northern Nevada,Sparks,NV,89434-7905
College of Southern Nevada,Las Vegas,NV,89146-1164
Las Vegas College,Las Vegas,NV,89113
University of Nevada-Las Vegas,Las Vegas,NV,89154
University of Nevada-Reno,Reno,NV,89557
Great Basin College,Elko,NV,89801
Sierra Nevada University,Incline Village,NV,89451
Truckee Meadows Community College,Reno,NV,89512-3999
Western Nevada College,Carson City,NV,89703-7399
Colby-Sawyer College,New London,NH,03257-7835
Continental Academie of Hair Design-Hudson,Hudson,NH,3051
Dartmouth College,Hanover,NH,03755-3529
Empire Beauty School-Laconia,Laconia,NH,3246
Empire Beauty School-Somersworth,Somersworth,NH,3878
Franklin Pierce University,Rindge,NH,03461-0060
University of New Hampshire-Franklin Pierce School of Law,Concord,NH,03301-4197
Keene Beauty Academy,Keene,NH,3431
Magdalen College,Warner,NH,03278-4012
Michael's School of Hair Design & Esthetics,Bedford,NH,3110
New England College,Henniker,NH,3242
New England School of Hair Design,West Lebanon,NH,3784
Southern New Hampshire University,Manchester,NH,03106-1045
New Hampshire Institute for Therapeutic Arts,Nashua,NH,3060
University of New Hampshire-Main Campus,Durham,NH,03824-3547
Keene State College,Keene,NH,03435-1506
University of New Hampshire at Manchester,Manchester,NH,03101-1113
Plymouth State University,Plymouth,NH,03264-1595
NHTI-Concord's Community College,Concord,NH,03301-7412
White Mountains Community College,Berlin,NH,3570
River Valley Community College,Claremont,NH,03743-9707
Lakes Region Community College,Laconia,NH,3246
Manchester Community College,Manchester,NH,03102-8518
Nashua Community College,Nashua,NH,03063-1026
Great Bay Community College,Portsmouth,NH,03801-2879
Paul Mitchell the School-Portsmouth,Portsmouth,NH,03801-4084
Rivier University,Nashua,NH,3060
Saint Anselm College,Manchester,NH,03102-1310
St Joseph School of Nursing,Nashua,NH,3060
Granite State College,Concord,NH,03301-3471
Thomas More College of Liberal Arts,Merrimack,NH,3054
Eastwick College-Hackensack,Hackensack,NJ,7601
Assumption College for Sisters,Denville,NJ,7834
Atlantic Cape Community College,Mays Landing,NJ,08330-2699
Fortis Institute-Wayne,Wayne,NJ,7470
Bergen Community College,Paramus,NJ,07652-1595
Berkeley College-Woodland Park,Woodland Park,NJ,7424
Beth Medrash Govoha,Lakewood,NJ,08701-2754
Bloomfield College,Bloomfield,NJ,7003
Brookdale Community College,Lincroft,NJ,07738-1597
Rowan College at Burlington County,Mount Laurel,NJ,08054-1599
Caldwell University,Caldwell,NJ,07006-6195
Camden County College,Blackwood,NJ,8012
Centenary University,Hackettstown,NJ,7840
Adult and Continuing Education-BCTS,Hackensack,NJ,07601-6637
Branford Hall Career Institute-Parsippany,Parsippany,NJ,07054-3897
Lincoln Technical Institute-Iselin,Iselin,NJ,8830
American Institute-Clifton,CLIFTON,NJ,7011
County College of Morris,Randolph,NJ,07869-2086
Rowan College of South Jersey-Cumberland Campus,Vineland,NJ,08362-1500
Divers Academy International,ERIAL,NJ,8081
Drew University,Madison,NJ,7940
Lincoln Technical Institute-South Plainfield,South Plainfield,NJ,07080-2424
Essex County College,Newark,NJ,7102
Empire Beauty School-Union,Union,NJ,7083
Fairleigh Dickinson University-Metropolitan Campus,Teaneck,NJ,7666
Felician University,Lodi,NJ,7644
Fairleigh Dickinson University-Florham Campus,Madison,NJ,7940
Hohokus School of Trade and Technical Sciences,Paterson,NJ,7513
Georgian Court University,Lakewood,NJ,08701-2697
Rowan University,Glassboro,NJ,8028
Rowan College of South Jersey-Gloucester Campus,Sewell,NJ,8080
Empire Beauty School-Cherry Hill,Cherry Hill,NJ,8002
Harris School of Business-Cherry Hill Campus,Cherry Hill,NJ,8002
Eastwick College-Ramsey,Ramsey,NJ,07446-2551
Holy Name Medical Center-Sister Claire Tynan School of Nursing,Englewood Cliffs,NJ,7632
Hudson County Community College,Jersey City,NJ,7306
New Jersey City University,Jersey City,NJ,7305
Joe Kubert School of Cartoon and Graphic Art,Dover,NJ,7801
Kean University,Union,NJ,7083
Harris School of Business-Voorhees Campus,Voorhees,NJ,8043
Lincoln Technical Institute-Union,Union,NJ,7083
Rizzieri Aveda School for Beauty and Wellness,Voorhees,NJ,08043-1800
Mercer County Community College,West Windsor,NJ,08550-3407
Middlesex College,Edison,NJ,8837
Monmouth University,West Long Branch,NJ,07764-1898
Montclair State University,Montclair,NJ,07043-1624
JFK Muhlenberg Harold B. and Dorothy A. Snyder Schools,Plainfield,NJ,7060
Eastwick College-Nutley,Nutley,NJ,7110
New Brunswick Theological Seminary,New Brunswick,NJ,08901-1107
Robert Fiance Beauty Schools-West New York,West New York,NJ,07093-4623
New Jersey Institute of Technology,Newark,NJ,7102
Ocean County College,Toms River,NJ,08754-2001
P B Cosmetology Education Center,Gloucester,NJ,8030
Parisian Beauty School,Hackensack,NJ,07601-5509
Passaic County Community College,Paterson,NJ,07505-1179
Pennco Tech-Blackwood,Blackwood,NJ,8012
Princeton Theological Seminary,Princeton,NJ,08542-0803
Princeton University,Princeton,NJ,08544-0070
Rabbinical College of America,Morristown,NJ,07960-3600
Ramapo College of New Jersey,Mahwah,NJ,07430-1680
Robert Fiance Beauty Schools,Boynton Beach,FL,33435
Rider University,Lawrenceville,NJ,08648-3099
Rutgers University-Camden,Camden,NJ,8102
Rutgers University-New Brunswick,New Brunswick,NJ,08901-1281
Rutgers University-Newark,Newark,NJ,7102
